[Epoch 1]	Learning rate: 2.00e-4
[Epoch 1]	Learning rate: 2.00e-4
[100/800]	[L1: 15.8762]	16.0+14.1s
[200/800]	[L1: 11.8984]	12.9+0.0s
[300/800]	[L1: 10.1107]	11.3+0.0s
[400/800]	[L1: 9.6064]	13.2+0.0s
[500/800]	[L1: 9.0812]	12.2+0.0s
[600/800]	[L1: 8.7566]	12.0+0.0s
[700/800]	[L1: 8.4330]	13.6+0.0s
[800/800]	[L1: 8.1579]	12.5+0.0s

Evaluation:
[B100 x2.0]	PSNR: 30.463 SSIM: 0.8782 (Best: 30.463 @epoch 1)
Total time: 0.56s

[Epoch 2]	Learning rate: 2.00e-4
[Epoch 1]	Learning rate: 1.00e-4
[100/800]	[L1: 18.4350]	14.9+14.6s
[Epoch 1]	Learning rate: 1.00e-4
[100/800]	[L1: 18.4394]	15.0+13.3s
[200/800]	[L1: 13.7148]	13.2+0.1s
[300/800]	[L1: 11.6589]	11.7+0.0s
[400/800]	[L1: 10.7753]	13.4+0.0s
[500/800]	[L1: 10.0130]	12.3+0.0s
[600/800]	[L1: 9.5179]	12.8+0.1s
[700/800]	[L1: 9.0434]	13.4+0.0s
[800/800]	[L1: 8.6507]	12.7+0.0s

Evaluation:
[B100 x2.0]	PSNR: 30.527 SSIM: 0.8769 (Best: 30.527 @epoch 1)
Total time: 0.52s

[Epoch 1]	Learning rate: 1.00e-4
[1/800]	[L1: 46.6319]	1.3+13.8s
[2/800]	[L1: 39.7904]	0.2+0.0s
[3/800]	[L1: 39.2018]	0.1+0.0s
[4/800]	[L1: 35.6082]	0.1+0.0s
[5/800]	[L1: 32.5978]	0.1+0.0s
[6/800]	[L1: 31.5608]	0.1+0.0s
[7/800]	[L1: 29.9971]	0.1+0.0s
[8/800]	[L1: 31.0017]	0.1+0.0s
[9/800]	[L1: 30.8008]	0.1+0.0s
[10/800]	[L1: 31.6316]	0.1+0.0s
[11/800]	[L1: 30.7766]	0.1+0.0s
[12/800]	[L1: 30.5095]	0.1+0.0s
[13/800]	[L1: 30.4066]	0.1+0.0s
[14/800]	[L1: 29.6805]	0.1+0.0s
[15/800]	[L1: 29.0557]	0.1+0.0s
[16/800]	[L1: 28.7796]	0.1+0.0s
[17/800]	[L1: 28.6696]	0.1+0.0s
[18/800]	[L1: 27.8877]	0.1+0.0s
[19/800]	[L1: 28.2685]	0.1+0.0s
[20/800]	[L1: 28.2292]	0.1+0.0s
[21/800]	[L1: 28.0092]	0.1+0.0s
[22/800]	[L1: 27.7336]	0.1+0.0s
[23/800]	[L1: 28.2270]	0.1+0.0s
[24/800]	[L1: 27.7552]	0.1+0.0s
[25/800]	[L1: 27.9771]	0.1+0.0s
[26/800]	[L1: 27.9673]	0.1+0.0s
[27/800]	[L1: 27.4352]	0.1+0.0s
[28/800]	[L1: 27.4832]	0.1+0.0s
[29/800]	[L1: 27.0903]	0.1+0.0s
[30/800]	[L1: 26.9864]	0.2+0.0s
[31/800]	[L1: 26.7787]	0.1+0.0s
[32/800]	[L1: 26.4442]	0.1+0.0s
[33/800]	[L1: 26.2106]	0.2+0.0s
[34/800]	[L1: 26.0282]	0.2+0.0s
[35/800]	[L1: 25.7348]	0.1+0.0s
[36/800]	[L1: 25.3669]	0.2+0.0s
[37/800]	[L1: 25.2241]	0.2+0.0s
[38/800]	[L1: 24.9645]	0.1+0.0s
[39/800]	[L1: 24.6598]	0.1+0.0s
[40/800]	[L1: 24.4269]	0.1+0.0s
[41/800]	[L1: 24.3790]	0.1+0.0s
[42/800]	[L1: 24.5128]	0.1+0.0s
[43/800]	[L1: 24.3950]	0.2+0.0s
[44/800]	[L1: 24.3659]	0.1+0.0s
[45/800]	[L1: 24.1174]	0.1+0.0s
[46/800]	[L1: 23.7281]	0.1+0.0s
[47/800]	[L1: 23.4671]	0.2+0.0s
[48/800]	[L1: 23.1509]	0.2+0.0s
[49/800]	[L1: 22.9787]	0.2+0.0s
[50/800]	[L1: 22.7283]	0.2+0.0s
[51/800]	[L1: 22.6927]	0.2+0.0s
[52/800]	[L1: 22.3286]	0.1+0.0s
[53/800]	[L1: 22.1563]	0.2+0.0s
[54/800]	[L1: 22.0643]	0.2+0.0s
[55/800]	[L1: 21.8805]	0.1+0.0s
[56/800]	[L1: 21.7896]	0.1+0.0s
[57/800]	[L1: 21.6924]	0.2+0.0s
[58/800]	[L1: 21.4883]	0.2+0.0s
[59/800]	[L1: 21.2853]	0.2+0.0s
[60/800]	[L1: 21.0351]	0.2+0.0s
[61/800]	[L1: 20.9153]	0.1+0.0s
[62/800]	[L1: 20.8553]	0.1+0.0s
[63/800]	[L1: 21.1734]	0.1+0.0s
[64/800]	[L1: 21.0934]	0.1+0.0s
[65/800]	[L1: 21.0306]	0.1+0.0s
[66/800]	[L1: 20.8907]	0.1+0.0s
[67/800]	[L1: 20.8313]	0.1+0.0s
[68/800]	[L1: 20.9872]	0.1+0.0s
[69/800]	[L1: 20.8714]	0.1+0.0s
[70/800]	[L1: 20.7641]	0.1+0.0s
[71/800]	[L1: 20.6302]	0.2+0.0s
[72/800]	[L1: 20.5587]	0.2+0.0s
[73/800]	[L1: 20.3679]	0.2+0.0s
[74/800]	[L1: 20.2615]	0.2+0.0s
[75/800]	[L1: 20.1160]	0.1+0.0s
[76/800]	[L1: 20.0039]	0.2+0.0s
[77/800]	[L1: 19.8469]	0.1+0.0s
[78/800]	[L1: 19.7497]	0.1+0.0s
[79/800]	[L1: 19.7405]	0.2+0.0s
[80/800]	[L1: 19.7373]	0.1+0.0s
[81/800]	[L1: 19.6402]	0.1+0.0s
[82/800]	[L1: 19.5488]	0.1+0.0s
[83/800]	[L1: 19.5863]	0.1+0.0s
[84/800]	[L1: 19.5955]	0.1+0.0s
[85/800]	[L1: 19.5999]	0.2+0.0s
[86/800]	[L1: 19.4925]	0.1+0.0s
[87/800]	[L1: 19.3759]	0.1+0.0s
[88/800]	[L1: 19.2642]	0.1+0.0s
[89/800]	[L1: 19.1694]	0.2+0.0s
[90/800]	[L1: 19.2060]	0.2+0.0s
[91/800]	[L1: 19.0696]	0.2+0.0s
[92/800]	[L1: 19.0163]	0.1+0.0s
[93/800]	[L1: 18.9466]	0.1+0.0s
[94/800]	[L1: 18.8440]	0.2+0.0s
[95/800]	[L1: 18.8285]	0.2+0.0s
[96/800]	[L1: 18.7275]	0.1+0.0s
[97/800]	[L1: 18.6220]	0.1+0.0s
[98/800]	[L1: 18.6609]	0.1+0.0s
[99/800]	[L1: 18.4967]	0.1+0.0s
[100/800]	[L1: 18.4388]	0.1+0.0s
[101/800]	[L1: 18.4614]	0.1+0.0s
[102/800]	[L1: 18.3846]	0.1+0.0s
[103/800]	[L1: 18.2920]	0.1+0.0s
[104/800]	[L1: 18.2678]	0.1+0.0s
[105/800]	[L1: 18.2574]	0.1+0.0s
[106/800]	[L1: 18.2462]	0.1+0.0s
[107/800]	[L1: 18.1511]	0.1+0.0s
[108/800]	[L1: 18.0573]	0.1+0.0s
[109/800]	[L1: 17.9911]	0.1+0.0s
[110/800]	[L1: 17.9128]	0.1+0.0s
[111/800]	[L1: 17.8782]	0.1+0.0s
[112/800]	[L1: 17.7928]	0.1+0.0s
[113/800]	[L1: 17.7479]	0.1+0.0s
[114/800]	[L1: 17.7296]	0.1+0.0s
[115/800]	[L1: 17.6249]	0.1+0.0s
[116/800]	[L1: 17.5416]	0.1+0.0s
[117/800]	[L1: 17.4594]	0.1+0.0s
[118/800]	[L1: 17.4037]	0.1+0.0s
[119/800]	[L1: 17.3440]	0.1+0.0s
[120/800]	[L1: 17.2677]	0.1+0.0s
[121/800]	[L1: 17.1817]	0.1+0.0s
[122/800]	[L1: 17.1134]	0.1+0.0s
[123/800]	[L1: 17.0541]	0.1+0.0s
[124/800]	[L1: 16.9492]	0.1+0.0s
[125/800]	[L1: 16.8655]	0.1+0.0s
[126/800]	[L1: 16.8383]	0.1+0.0s
[127/800]	[L1: 16.7515]	0.1+0.0s
[128/800]	[L1: 16.6687]	0.1+0.0s
[129/800]	[L1: 16.6784]	0.1+0.0s
[130/800]	[L1: 16.6596]	0.1+0.0s
[131/800]	[L1: 16.7054]	0.8+0.0s
[132/800]	[L1: 16.6976]	0.1+0.0s
[133/800]	[L1: 16.6362]	0.1+0.0s
[134/800]	[L1: 16.5657]	0.1+0.0s
[135/800]	[L1: 16.5050]	0.1+0.0s
[136/800]	[L1: 16.4450]	0.1+0.0s
[137/800]	[L1: 16.3667]	0.1+0.0s
[138/800]	[L1: 16.3341]	0.1+0.0s
[139/800]	[L1: 16.2739]	0.1+0.0s
[140/800]	[L1: 16.2128]	0.1+0.0s
[141/800]	[L1: 16.1759]	0.1+0.0s
[142/800]	[L1: 16.1014]	0.1+0.0s
[143/800]	[L1: 16.1113]	0.1+0.0s
[144/800]	[L1: 16.0897]	0.1+0.0s
[145/800]	[L1: 16.0558]	0.1+0.0s
[146/800]	[L1: 15.9770]	0.1+0.0s
[147/800]	[L1: 15.9160]	0.1+0.0s
[148/800]	[L1: 15.8581]	0.1+0.0s
[149/800]	[L1: 15.7863]	0.1+0.0s
[150/800]	[L1: 15.7329]	0.1+0.0s
[151/800]	[L1: 15.6475]	0.1+0.0s
[152/800]	[L1: 15.5906]	0.1+0.0s
[153/800]	[L1: 15.5687]	0.1+0.0s
[154/800]	[L1: 15.5042]	0.1+0.0s
[155/800]	[L1: 15.4460]	0.1+0.0s
[156/800]	[L1: 15.4053]	0.1+0.0s
[157/800]	[L1: 15.3376]	0.1+0.0s
[158/800]	[L1: 15.3045]	0.1+0.0s
[159/800]	[L1: 15.2621]	0.1+0.0s
[160/800]	[L1: 15.2265]	0.1+0.0s
[161/800]	[L1: 15.1714]	0.1+0.0s
[162/800]	[L1: 15.1366]	0.1+0.0s
[163/800]	[L1: 15.0916]	0.2+0.0s
[164/800]	[L1: 15.0259]	4.5+0.0s
[165/800]	[L1: 14.9637]	0.1+0.0s
[166/800]	[L1: 14.9016]	0.1+0.0s
[167/800]	[L1: 14.8259]	0.1+0.0s
[168/800]	[L1: 14.7691]	0.1+0.0s
[169/800]	[L1: 14.7528]	0.1+0.0s
[Epoch 1]	Learning rate: 1.00e-4
[1/800]	[L1: 46.6319]	1.3+13.3s
[2/800]	[L1: 39.7904]	0.1+0.0s
[3/800]	[L1: 39.2018]	0.1+0.0s
[4/800]	[L1: 35.6082]	0.1+0.0s
[5/800]	[L1: 32.5977]	0.1+0.0s
[6/800]	[L1: 31.5606]	0.1+0.0s
[7/800]	[L1: 29.9970]	0.1+0.0s
[8/800]	[L1: 31.0014]	0.1+0.0s
[9/800]	[L1: 30.8002]	0.1+0.0s
[10/800]	[L1: 31.6311]	0.1+0.0s
[11/800]	[L1: 30.7762]	0.1+0.0s
[12/800]	[L1: 30.5092]	0.1+0.0s
[13/800]	[L1: 30.4064]	0.1+0.0s
[14/800]	[L1: 29.6799]	0.1+0.0s
[15/800]	[L1: 29.0549]	0.1+0.0s
[16/800]	[L1: 28.7786]	0.1+0.0s
[17/800]	[L1: 28.6686]	0.1+0.0s
[18/800]	[L1: 27.8865]	0.1+0.0s
[19/800]	[L1: 28.2675]	0.1+0.0s
[20/800]	[L1: 28.2281]	0.1+0.0s
[21/800]	[L1: 28.0081]	0.1+0.0s
[22/800]	[L1: 27.7326]	0.1+0.0s
[23/800]	[L1: 28.2251]	0.1+0.0s
[24/800]	[L1: 27.7534]	0.1+0.0s
[25/800]	[L1: 27.9753]	0.1+0.0s
[26/800]	[L1: 27.9655]	0.1+0.0s
[27/800]	[L1: 27.4335]	0.1+0.0s
[28/800]	[L1: 27.4813]	0.1+0.0s
[29/800]	[L1: 27.0883]	0.1+0.0s
[30/800]	[L1: 26.9845]	0.1+0.0s
[31/800]	[L1: 26.7765]	0.2+0.0s
[32/800]	[L1: 26.4417]	0.2+0.0s
[33/800]	[L1: 26.2082]	0.1+0.0s
[34/800]	[L1: 26.0257]	0.2+0.0s
[35/800]	[L1: 25.7325]	0.1+0.0s
[36/800]	[L1: 25.3647]	0.1+0.0s
[37/800]	[L1: 25.2221]	0.1+0.0s
[38/800]	[L1: 24.9623]	0.2+0.0s
[39/800]	[L1: 24.6578]	0.2+0.0s
[40/800]	[L1: 24.4249]	0.1+0.0s
[41/800]	[L1: 24.3772]	0.1+0.0s
[42/800]	[L1: 24.5108]	0.1+0.0s
[43/800]	[L1: 24.3924]	0.2+0.0s
[44/800]	[L1: 24.3625]	0.1+0.0s
[45/800]	[L1: 24.1133]	0.1+0.0s
[46/800]	[L1: 23.7241]	0.2+0.0s
[47/800]	[L1: 23.4634]	0.2+0.0s
[48/800]	[L1: 23.1472]	0.1+0.0s
[49/800]	[L1: 22.9746]	0.1+0.0s
[50/800]	[L1: 22.7247]	0.1+0.0s
[51/800]	[L1: 22.6882]	0.1+0.0s
[52/800]	[L1: 22.3242]	0.2+0.0s
[53/800]	[L1: 22.1522]	0.2+0.0s
[54/800]	[L1: 22.0602]	0.1+0.0s
[55/800]	[L1: 21.8764]	0.1+0.0s
[56/800]	[L1: 21.7859]	0.2+0.0s
[57/800]	[L1: 21.6904]	0.2+0.0s
[58/800]	[L1: 21.4874]	0.2+0.0s
[59/800]	[L1: 21.2843]	0.1+0.0s
[60/800]	[L1: 21.0346]	0.1+0.0s
[61/800]	[L1: 20.9158]	0.1+0.0s
[62/800]	[L1: 20.8557]	0.1+0.0s
[63/800]	[L1: 21.1737]	0.1+0.0s
[64/800]	[L1: 21.0935]	0.1+0.0s
[65/800]	[L1: 21.0307]	0.1+0.0s
[66/800]	[L1: 20.8910]	0.1+0.0s
[67/800]	[L1: 20.8321]	0.2+0.0s
[68/800]	[L1: 20.9880]	0.2+0.0s
[69/800]	[L1: 20.8721]	0.2+0.0s
[70/800]	[L1: 20.7649]	0.2+0.0s
[71/800]	[L1: 20.6307]	0.1+0.0s
[72/800]	[L1: 20.5591]	0.1+0.0s
[73/800]	[L1: 20.3680]	0.2+0.0s
[74/800]	[L1: 20.2614]	0.1+0.0s
[75/800]	[L1: 20.1155]	0.1+0.0s
[76/800]	[L1: 20.0050]	0.2+0.0s
[77/800]	[L1: 19.8467]	0.2+0.0s
[78/800]	[L1: 19.7495]	0.1+0.0s
[79/800]	[L1: 19.7404]	0.1+0.0s
[80/800]	[L1: 19.7372]	0.2+0.0s
[81/800]	[L1: 19.6432]	0.1+0.0s
[82/800]	[L1: 19.5519]	0.2+0.0s
[83/800]	[L1: 19.5902]	0.1+0.0s
[84/800]	[L1: 19.5997]	0.1+0.0s
[85/800]	[L1: 19.6036]	0.1+0.0s
[86/800]	[L1: 19.4966]	0.1+0.0s
[87/800]	[L1: 19.3805]	0.1+0.0s
[88/800]	[L1: 19.2691]	0.1+0.0s
[89/800]	[L1: 19.1744]	0.1+0.0s
[90/800]	[L1: 19.2112]	0.2+0.0s
[91/800]	[L1: 19.0744]	0.2+0.0s
[92/800]	[L1: 19.0227]	0.1+0.0s
[93/800]	[L1: 18.9521]	0.2+0.0s
[94/800]	[L1: 18.8491]	0.1+0.0s
[95/800]	[L1: 18.8335]	0.1+0.0s
[96/800]	[L1: 18.7323]	0.2+0.0s
[97/800]	[L1: 18.6257]	0.2+0.0s
[98/800]	[L1: 18.6649]	0.1+0.0s
[99/800]	[L1: 18.5005]	0.1+0.0s
[100/800]	[L1: 18.4422]	0.1+0.0s
[101/800]	[L1: 18.4646]	0.1+0.0s
[102/800]	[L1: 18.3851]	0.1+0.0s
[103/800]	[L1: 18.2920]	0.1+0.0s
[104/800]	[L1: 18.2709]	0.1+0.0s
[105/800]	[L1: 18.2600]	0.1+0.0s
[106/800]	[L1: 18.2481]	0.1+0.0s
[107/800]	[L1: 18.1507]	0.1+0.0s
[108/800]	[L1: 18.0561]	0.1+0.0s
[109/800]	[L1: 17.9896]	0.1+0.0s
[110/800]	[L1: 17.9074]	0.1+0.0s
[111/800]	[L1: 17.8720]	0.1+0.0s
[112/800]	[L1: 17.7865]	0.1+0.0s
[113/800]	[L1: 17.7425]	0.1+0.0s
[114/800]	[L1: 17.7246]	0.1+0.0s
[115/800]	[L1: 17.6214]	0.1+0.0s
[116/800]	[L1: 17.5392]	0.1+0.0s
[117/800]	[L1: 17.4579]	0.1+0.0s
[118/800]	[L1: 17.4034]	0.1+0.0s
[119/800]	[L1: 17.3444]	0.1+0.0s
[120/800]	[L1: 17.2697]	0.1+0.0s
[121/800]	[L1: 17.1846]	0.1+0.0s
[122/800]	[L1: 17.1167]	0.1+0.0s
[123/800]	[L1: 17.0554]	0.1+0.0s
[124/800]	[L1: 16.9515]	0.1+0.0s
[125/800]	[L1: 16.8682]	0.1+0.0s
[126/800]	[L1: 16.8406]	0.1+0.0s
[127/800]	[L1: 16.7537]	0.1+0.0s
[128/800]	[L1: 16.6712]	0.1+0.0s
[129/800]	[L1: 16.6815]	0.1+0.0s
[130/800]	[L1: 16.6634]	0.1+0.0s
[131/800]	[L1: 16.7114]	0.1+0.0s
[132/800]	[L1: 16.7047]	0.1+0.0s
[133/800]	[L1: 16.6438]	0.1+0.0s
[134/800]	[L1: 16.5755]	0.1+0.0s
[135/800]	[L1: 16.5152]	0.1+0.0s
[136/800]	[L1: 16.4561]	0.1+0.0s
[137/800]	[L1: 16.3787]	0.1+0.0s
[138/800]	[L1: 16.3461]	0.1+0.0s
[139/800]	[L1: 16.2881]	0.1+0.0s
[140/800]	[L1: 16.2310]	0.1+0.0s
[141/800]	[L1: 16.1944]	0.1+0.0s
[142/800]	[L1: 16.1190]	0.1+0.0s
[143/800]	[L1: 16.1292]	0.1+0.0s
[144/800]	[L1: 16.1074]	0.1+0.0s
[145/800]	[L1: 16.0738]	0.1+0.0s
[146/800]	[L1: 15.9965]	0.1+0.0s
[147/800]	[L1: 15.9340]	0.1+0.0s
[148/800]	[L1: 15.8752]	0.2+0.0s
[149/800]	[L1: 15.8033]	0.1+0.0s
[150/800]	[L1: 15.7497]	0.1+0.0s
[151/800]	[L1: 15.6640]	0.1+0.0s
[152/800]	[L1: 15.6079]	0.1+0.0s
[153/800]	[L1: 15.5859]	0.1+0.0s
[154/800]	[L1: 15.5234]	0.1+0.0s
[155/800]	[L1: 15.4683]	0.1+0.0s
[156/800]	[L1: 15.4277]	0.2+0.0s
[157/800]	[L1: 15.3617]	0.3+0.0s
[158/800]	[L1: 15.3289]	0.2+0.0s
[159/800]	[L1: 15.2865]	0.2+0.0s
[160/800]	[L1: 15.2506]	0.2+0.0s
[161/800]	[L1: 15.1949]	0.2+0.0s
[162/800]	[L1: 15.1615]	0.1+0.0s
[163/800]	[L1: 15.1191]	0.2+0.0s
[164/800]	[L1: 15.0551]	0.1+0.0s
[165/800]	[L1: 14.9934]	0.1+0.0s
[166/800]	[L1: 14.9314]	0.2+0.0s
[167/800]	[L1: 14.8558]	0.1+0.0s
[168/800]	[L1: 14.8002]	0.1+0.0s
[169/800]	[L1: 14.7841]	0.1+0.0s
[170/800]	[L1: 14.7313]	0.1+0.0s
[171/800]	[L1: 14.6771]	0.2+0.0s
[172/800]	[L1: 14.6875]	0.1+0.0s
[173/800]	[L1: 14.6902]	0.1+0.0s
[174/800]	[L1: 14.6588]	0.1+0.0s
[175/800]	[L1: 14.6473]	0.1+0.0s
[176/800]	[L1: 14.6021]	0.1+0.0s
[177/800]	[L1: 14.5689]	0.1+0.0s
[178/800]	[L1: 14.5165]	0.1+0.0s
[179/800]	[L1: 14.5062]	0.1+0.0s
[180/800]	[L1: 14.4587]	0.1+0.0s
[181/800]	[L1: 14.4026]	0.1+0.0s
[182/800]	[L1: 14.3574]	0.1+0.0s
[183/800]	[L1: 14.3096]	0.1+0.0s
[184/800]	[L1: 14.2670]	0.1+0.0s
[185/800]	[L1: 14.2583]	0.1+0.0s
[186/800]	[L1: 14.2450]	0.1+0.0s
[187/800]	[L1: 14.1877]	0.1+0.0s
[188/800]	[L1: 14.1295]	0.1+0.0s
[189/800]	[L1: 14.0795]	0.2+0.0s
[190/800]	[L1: 14.0220]	0.1+0.0s
[191/800]	[L1: 13.9952]	0.2+0.0s
[192/800]	[L1: 13.9397]	0.1+0.0s
[193/800]	[L1: 13.9528]	0.1+0.0s
[194/800]	[L1: 13.9037]	0.1+0.0s
[195/800]	[L1: 13.8914]	0.1+0.0s
[196/800]	[L1: 13.8499]	0.1+0.0s
[197/800]	[L1: 13.8002]	0.1+0.0s
[198/800]	[L1: 13.7925]	0.1+0.0s
[199/800]	[L1: 13.7502]	0.1+0.0s
[200/800]	[L1: 13.7091]	0.1+0.0s
[201/800]	[L1: 13.6615]	0.1+0.0s
[202/800]	[L1: 13.6221]	0.1+0.0s
[203/800]	[L1: 13.5992]	0.1+0.0s
[204/800]	[L1: 13.5576]	0.1+0.0s
[205/800]	[L1: 13.5208]	0.1+0.0s
[206/800]	[L1: 13.5114]	0.1+0.0s
[207/800]	[L1: 13.5090]	0.1+0.0s
[208/800]	[L1: 13.4892]	0.1+0.0s
[209/800]	[L1: 13.4535]	0.1+0.0s
[210/800]	[L1: 13.4887]	0.1+0.0s
[211/800]	[L1: 13.4436]	0.1+0.0s
[212/800]	[L1: 13.4042]	0.1+0.0s
[213/800]	[L1: 13.3676]	0.1+0.0s
[214/800]	[L1: 13.3518]	0.1+0.0s
[215/800]	[L1: 13.3293]	0.2+0.0s
[216/800]	[L1: 13.2925]	0.1+0.0s
[217/800]	[L1: 13.2847]	0.1+0.0s
[218/800]	[L1: 13.2580]	0.1+0.0s
[219/800]	[L1: 13.2178]	0.1+0.0s
[220/800]	[L1: 13.2088]	0.1+0.0s
[221/800]	[L1: 13.2089]	0.1+0.0s
[222/800]	[L1: 13.1657]	0.1+0.0s
[223/800]	[L1: 13.1294]	0.1+0.0s
[224/800]	[L1: 13.1168]	0.1+0.0s
[225/800]	[L1: 13.1262]	0.1+0.0s
[226/800]	[L1: 13.0885]	0.1+0.0s
[227/800]	[L1: 13.0785]	0.1+0.0s
[228/800]	[L1: 13.0434]	0.1+0.0s
[229/800]	[L1: 13.0779]	0.1+0.0s
[230/800]	[L1: 13.0343]	0.1+0.0s
[231/800]	[L1: 12.9987]	0.1+0.0s
[232/800]	[L1: 13.0389]	0.1+0.0s
[233/800]	[L1: 13.0023]	0.1+0.0s
[234/800]	[L1: 12.9656]	0.1+0.0s
[235/800]	[L1: 12.9295]	0.1+0.0s
[236/800]	[L1: 12.8857]	0.1+0.0s
[237/800]	[L1: 12.8505]	0.1+0.0s
[238/800]	[L1: 12.8241]	0.1+0.0s
[239/800]	[L1: 12.7992]	0.1+0.0s
[240/800]	[L1: 12.7703]	0.1+0.0s
[241/800]	[L1: 12.7660]	0.1+0.0s
[242/800]	[L1: 12.7338]	0.1+0.0s
[243/800]	[L1: 12.7364]	0.1+0.0s
[244/800]	[L1: 12.7047]	0.1+0.0s
[245/800]	[L1: 12.7116]	0.1+0.0s
[246/800]	[L1: 12.7103]	0.1+0.0s
[247/800]	[L1: 12.7000]	0.1+0.0s
[248/800]	[L1: 12.6784]	0.1+0.0s
[249/800]	[L1: 12.6479]	0.1+0.0s
[250/800]	[L1: 12.6091]	0.1+0.0s
[251/800]	[L1: 12.5741]	0.1+0.0s
[252/800]	[L1: 12.5450]	0.1+0.0s
[253/800]	[L1: 12.5140]	0.1+0.0s
[254/800]	[L1: 12.4779]	0.1+0.0s
[255/800]	[L1: 12.4443]	0.1+0.0s
[256/800]	[L1: 12.4216]	0.1+0.0s
[257/800]	[L1: 12.3920]	0.1+0.0s
[258/800]	[L1: 12.3650]	0.1+0.0s
[259/800]	[L1: 12.3622]	0.1+0.0s
[260/800]	[L1: 12.3397]	0.1+0.0s
[261/800]	[L1: 12.3116]	0.1+0.0s
[262/800]	[L1: 12.2901]	0.1+0.0s
[263/800]	[L1: 12.2805]	0.1+0.0s
[264/800]	[L1: 12.2437]	0.1+0.0s
[265/800]	[L1: 12.2418]	0.1+0.0s
[266/800]	[L1: 12.2073]	0.1+0.0s
[267/800]	[L1: 12.1950]	0.1+0.0s
[268/800]	[L1: 12.2119]	0.1+0.0s
[269/800]	[L1: 12.1810]	0.1+0.0s
[270/800]	[L1: 12.1504]	0.1+0.0s
[271/800]	[L1: 12.1319]	0.1+0.0s
[272/800]	[L1: 12.1083]	0.1+0.0s
[273/800]	[L1: 12.0982]	0.1+0.0s
[274/800]	[L1: 12.0729]	0.1+0.0s
[275/800]	[L1: 12.0674]	0.1+0.0s
[276/800]	[L1: 12.0396]	0.1+0.0s
[277/800]	[L1: 12.0053]	0.1+0.0s
[278/800]	[L1: 11.9719]	0.1+0.0s
[279/800]	[L1: 11.9396]	0.1+0.0s
[280/800]	[L1: 11.9233]	0.1+0.0s
[281/800]	[L1: 11.9098]	0.1+0.0s
[282/800]	[L1: 11.8899]	0.1+0.0s
[283/800]	[L1: 11.8599]	0.1+0.0s
[284/800]	[L1: 11.8441]	0.1+0.0s
[285/800]	[L1: 11.8137]	0.1+0.0s
[286/800]	[L1: 11.7851]	0.1+0.0s
[287/800]	[L1: 11.7593]	0.1+0.0s
[288/800]	[L1: 11.7442]	0.1+0.0s
[289/800]	[L1: 11.7300]	0.1+0.0s
[290/800]	[L1: 11.7042]	0.1+0.0s
[291/800]	[L1: 11.6810]	0.1+0.0s
[292/800]	[L1: 11.6524]	0.1+0.0s
[293/800]	[L1: 11.6250]	0.1+0.0s
[294/800]	[L1: 11.6341]	0.1+0.0s
[295/800]	[L1: 11.6100]	0.1+0.0s
